일시,태양광 이용률,합계전천일사량(MJ/m2)
2017-04-04,20.42,16.83
2017-04-05,3.78,2.94
2017-04-06,8.25,5.07
2017-04-07,19.9,16.64
2017-04-08,16.82,14.5
2017-04-09,14.62,11.57
2017-04-10,24.31,20.25
2017-04-11,20.67,17.42
2017-04-12,24.7,20.4
2017-04-13,20.45,18.18
2017-04-14,10.32,8.03
2017-04-15,21.66,18.98
2017-04-16,18.27,15.38
2017-04-17,4.59,4.32
2017-04-18,8.86,7.62
2017-04-19,24.89,21.36
2017-04-20,11.22,8.49
2017-04-21,21.13,18.27
2017-04-22,23.11,20.97
2017-04-23,24.64,21.65
2017-04-24,23.5,20.68
2017-04-25,16.38,15.22
2017-04-26,24.75,21.72
2017-04-27,23.79,21.92
2017-04-28,21.57,20.04
2017-04-29,23.03,20.82
2017-04-30,20.69,19.06
2017-05-01,22.14,20.17
2017-05-02,19.37,17.56
2017-05-03,22.13,20.84
2017-05-04,17,15.71
2017-05-05,20.83,19.81
2017-05-06,22.62,20.63
2017-05-07,22.88,21.06
2017-05-08,15.48,14.09
2017-05-09,7.36,7.37
2017-05-10,14.24,17.03
2017-05-11,15.84,13.66
2017-05-12,7.48,6.13
2017-05-13,10.35,9.04
2017-05-14,24.38,24.09
2017-05-15,18.89,23.66
2017-05-16,18.32,16.95
2017-05-17,23.19,22.35
2017-05-18,22.07,20.93
2017-05-19,23.28,23.47
2017-05-20,21.41,20.48
2017-05-21,23.05,23.72
2017-05-22,20.99,21.89
2017-05-23,12.14,11.46
2017-05-24,21.28,21.32
2017-05-25,22.36,23.41
2017-05-26,22.44,23.21
2017-05-27,23.94,24.07
2017-05-28,21.22,20.23
2017-05-29,20.9,21.02
2017-05-30,19.59,18.81
2017-05-31,17.57,16.93
2017-06-01,17.82,20.37
2017-06-02,23.92,23.78
2017-06-03,23.36,23.97
2017-06-04,23.94,23.78
2017-06-05,23.57,23.26
2017-06-06,7.39,5.97
2017-06-07,3.44,2.48
2017-06-08,21.55,19.51
2017-06-09,18.17,15.78
2017-06-10,21.14,18.66
2017-06-11,24.95,24.36
2017-06-12,20.71,18.44
2017-06-13,18.33,17.17
2017-06-14,21.39,21.82
2017-06-15,22.66,21.92
2017-06-16,21.73,21.1
2017-06-17,21.8,21.43
2017-06-18,22.82,22.63
2017-06-19,19.99,19.76
2017-06-20,18.18,16.25
2017-06-21,21.03,22.07
2017-06-22,20.82,20.99
2017-06-23,21.51,22.28
2017-06-24,7.45,5.29
2017-06-25,15.31,15.18
2017-06-26,13.83,13.07
2017-06-27,18.6,18.83
2017-06-28,18.9,18.42
2017-06-29,20.03,18.02
2017-06-30,17.66,17.37
2017-07-01,10.51,7.98
2017-07-02,5.85,4.11
2017-07-03,6.93,3.94
2017-07-04,18.32,18.11
2017-07-05,19.55,18.99
2017-07-06,19.2,19.93
2017-07-07,6.81,5.21
2017-07-08,4.93,3.73
2017-07-09,10.19,9.89
2017-07-10,2.41,2.08
2017-07-11,15.69,16.1
2017-07-12,16.91,14.31
2017-07-13,18.42,18.07
2017-07-14,17.1,17.66
2017-07-15,5.58,2.78
2017-07-16,8.75,7.32
