일시,태양광 이용률,일강수량(mm),평균 상대습도(%),합계전천일사량(MJ/m2)
2016-03-10,23.15,0,35.7,16.58
2016-03-11,22.84,0,43.12,16.36
2016-03-12,14.13,0,59.08,10.52
2016-03-13,7.01,0.64,72.24,6.67
2016-03-14,17.25,0,62.52,13.25
2016-03-15,19.76,0,50.8,14.98
2016-03-16,20.44,0,48.02,15.49
2016-03-17,14.4,0,48.66,11.52
2016-03-18,13.88,0,55.82,10.56
2016-03-19,18.9,0,62.38,15.21
2016-03-20,17.96,0,60.22,15.13
2016-03-21,20.07,0,59.7,15.82
2016-03-22,18.79,0,58.22,15.24
2016-03-23,17.71,0,50.36,13.75
2016-03-24,22.04,0,42.04,17.2
2016-03-25,17.81,0,52.78,14.65
2016-03-26,18.7,0,53.16,14.41
2016-03-27,20.18,0,50.8,15.81
2016-03-28,20.65,0,45.74,16.66
2016-03-29,13.98,0.02,56.62,10.57
2016-03-30,20.22,0,52.18,16
2016-03-31,17.44,0,36.12,14.11
2016-04-01,20.26,0,35.5,16.69
2016-04-02,19.42,0,45.18,16.43
2016-04-03,3.85,0.08,68.76,2.94
2016-04-04,22.06,0,46.02,18.03
2016-04-05,22.35,0,41.3,18.81
2016-04-06,16.72,1.38,44.32,13.25
2016-04-07,17.72,6.98,69.02,14.79
2016-04-08,19.37,0,74.34,16.31
2016-04-09,6.45,0.02,81.9,5.91
2016-04-10,15.95,0,67.14,12.85
2016-04-11,22.98,0,44.62,19.2
2016-04-12,17.28,0,48.24,14.03
2016-04-13,13.74,2.28,72.84,10.31
2016-04-14,16.6,0,74.04,9.89
2016-04-15,22.97,0,49.84,19.4
2016-04-16,8.96,29.76,65.74,7.18
2016-04-17,17.72,20.6,62.66,15.25
2016-04-18,21.11,4.04,64.94,17.03
2016-04-19,23.61,0,59.62,19.46
2016-04-20,12.75,0.5,62.8,10.37
2016-04-21,7.83,16.94,85.3,7.27
2016-04-22,14.07,0,79.22,12.83
2016-04-23,17.27,0,52.76,13.8
2016-04-24,23.01,0,46.18,19.09
2016-04-25,22.62,0,44.58,19.59
2016-04-26,20.4,0,42.96,17.79
2016-04-27,6.76,0.1,41.36,4.69
2016-04-28,19.84,0,40.82,16.57
2016-04-29,22.84,0,51.28,20.2
2016-04-30,14.82,0,53.9,13.41
2016-05-01,19,0,49.46,17.36
2016-05-02,17.99,13.8,65.46,15.57
2016-05-03,1.89,36.32,85.04,1.6
2016-05-04,25.75,0.06,41.88,22.98
2016-05-05,22.24,7.14,53.88,20.52
2016-05-06,2.81,3.66,88.78,1.68
2016-05-07,24.28,0,62.02,21.46
2016-05-08,23.32,0,53.6,20.99
2016-05-09,16.59,0,50.42,16.42
2016-05-10,4.63,13.4,80.32,4.21
2016-05-11,24.38,0,63.48,22.25
2016-05-12,24.46,0,64.34,22.1
2016-05-13,23.7,0.02,59.92,21.15
2016-05-14,24.71,0,51.54,21.71
2016-05-15,13.02,30.18,74.1,11.07
2016-05-16,24.8,2.48,58.28,21.64
2016-05-17,24.84,0,57.7,22.87
2016-05-18,24.68,0,53.32,23.2
2016-05-19,24.2,0,47.9,22.89
2016-05-20,23.52,0,47.04,22.29
2016-05-21,23.81,0,41.44,22.5
