일시,태양광 이용률,평균 상대습도(%),합계전천일사량(MJ/m2)
2016-12-08,6.64,80.88,5.83
2016-12-09,11.13,66.64,6.86
2016-12-10,13.82,55.9,8.43
2016-12-11,13.75,57.54,8.42
2016-12-12,6.57,56.62,4.89
2016-12-13,8.01,63.18,4.67
2016-12-14,3.19,71.4,2.32
2016-12-15,13.52,46.08,8.66
2016-12-16,13.49,48.34,8.72
2016-12-17,7.75,64.26,5.4
2016-12-18,3,75.74,2.48
2016-12-19,5.04,77.44,4.03
2016-12-20,10.42,80.7,7.16
2016-12-21,6.53,82.18,4.82
2016-12-22,1.08,87.54,0.84
2016-12-23,1.62,71.7,2.4
2016-12-24,5.52,67.86,6.03
2016-12-25,10.17,77.82,6.7
2016-12-26,1.54,79.68,1.41
2016-12-27,12.31,56.32,8.24
2016-12-28,13.16,55.32,8.29
2016-12-29,12.89,52.32,8.68
2016-12-30,10.82,60.96,7.78
2016-12-31,6.03,76.8,4.46
